5001;"der Schlittschuh";"Ein besonderer Schuh, mit dem man auf Eis fahren kann"
5002;"die Piste";"Eine spezielle Strecke, auf der man Ski fahren oder Snowboarden kann"
5003;"der Helm";"Ein Kopfschutz, den jeder Sportler beim Skifahren oder Snowboarden tragen soll"
5004;"die Schneebrille";"Brille, die vor dem Schnee schützen" 
5005;"die Handschuhe";"Ein Kleidungsstück für die Hände im Winter"
5006;"Fußball";"Laufen und dabei einen Ball treten"
5007;"Radfahren;"Bewegung auf einem Rad"
5008;"Beachvolleyball";"Am Strand oder im Sand mit einem Ball spielen"
5009;"Baseball";"Ein Schlagballspiel mit zwei Mannschaften, sehr beliebt in Amerika"
5010;"der Tennisball";"Ein kleiner gelber Ball"
5011;"die Laufschuhe";"Schuhe für joggen, laufen"
5012;"der Schützer";"Es schützt uns vor dem Stoß (z. B. Knieschützer)"
5013;"das Tor";"Netz auf einem Spielplatz, beim Fußball schießt man Tore"
